name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
79,"-70.8197287128,-33.12132058715","-70.8197473136,-33.1215819289","-70.8197209032,-33.1215823147","-70.8197101121,-33.1210592454","-70.8197365223,-33.1210588596",180.98990014402713,0.0024598984784283
80,"-70.819665285325,-33.121321513725","-70.819673095,-33.1210597862","-70.8196838859,-33.1215828555","-70.8196574756,-33.1215832413","-70.8196466848,-33.1210601719",180.98986187299158,0.0024598936991385876
81,"-70.81988878199999,-33.122928511975","-70.8199073838,-33.1231898536","-70.819880973,-33.1231902395","-70.8198701803,-33.1226671703","-70.8198965909,-33.1226667845",180.99002905059854,0.0024598907930778414
82,"-70.8198253534,-33.122929438650004","-70.8198331625,-33.1226677112","-70.819843955,-33.1231907803","-70.8198175442,-33.1231911661","-70.8198067519,-33.122668097",180.98998638743052,0.002459890669499927
83,"-70.819772810075,-33.12345794225","-70.8197914117,-33.1237192839","-70.8197650008,-33.1237196697","-70.8197542085,-33.1231966006","-70.8197806193,-33.1231962148",180.98998176199902,0.0024598898362235143
84,"-70.81970938110001,-33.123458868849994","-70.8197171905,-33.1231971414","-70.8197279826,-33.1237202105","-70.8197015716,-33.1237205963","-70.8196907797,-33.1231975272",180.98994381029127,0.0024598944658958677
85,"-70.81962362542501,-33.122377594475","-70.8196422263,-33.1226389362","-70.8196158156,-33.122639322","-70.8196050247,-33.1221162527","-70.8196314351,-33.122115867",180.989874389463,0.0024598920603919354
86,"-70.8195601972,-33.122378520975","-70.8195680071,-33.1221167935","-70.8195787979,-33.1226398627","-70.8195523872,-33.1226402485","-70.8195415966,-33.1221171792",180.98983643711026,0.002459896688830303
87,"-70.819612741525,-33.121850017350006","-70.8196313421,-33.1221113591","-70.8196049317,-33.1221117449","-70.819594141,-33.1215886756","-70.8196205513,-33.1215882898",180.9898529985158,0.002459888308219323
88,"-70.819549313675,-33.12185094385","-70.8195571237,-33.1215892163","-70.8195679141,-33.1221122856","-70.8195415036,-33.1221126714","-70.8195307133,-33.1215896021",180.98981046742296,0.0024598975930538594
89,"-70.8196018579,-33.121322440225","-70.8196204583,-33.121583782","-70.819594048,-33.1215841678","-70.8195832576,-33.1210610984","-70.8196096677,-33.1210607127",180.9898357194559,0.0024598890174321393
90,"-70.81953843045,-33.1213233667","-70.8195462405,-33.1210616391","-70.8195570307,-33.1215847085","-70.8195306203,-33.1215850943","-70.8195198303,-33.1210620249",180.9897933244696,0.0024598983999333515
91,"-70.819761924825,-33.122930365274996","-70.8197805263,-33.1231917069","-70.8197541155,-33.1231920928","-70.8197433234,-33.1226690236","-70.8197697341,-33.1226686378",180.98996952055694,0.0024598953961937784
92,"-70.81969849622499,-33.122931291899995","-70.8197063057,-33.1226695644","-70.8197170975,-33.1231926336","-70.8196906867,-33.1231930194","-70.819679895,-33.1226699502",180.98992667004703,0.0024598952739404035
93,"-70.8196459521,-33.123459795449996","-70.8196645534,-33.1237211371","-70.8196381424,-33.1237215229","-70.8196273509,-33.1231984538","-70.8196537617,-33.123198068",180.9899130779945,0.002459894439947011
94,"-70.819582523125,-33.123460722000004","-70.8195903329,-33.1231989945","-70.8196011242,-33.1237220637","-70.8195747133,-33.1237224495","-70.8195639221,-33.1231993803",180.98987494386506,0.0024598897590400936
95,"-70.819496769,-33.122379447449994","-70.8195153695,-33.1226407892","-70.8194889588,-33.122641175","-70.8194781686,-33.1221181057","-70.8195045791,-33.1221177199",180.9898058407545,0.002459896760488319
96,"-70.8194333408,-33.1223803739","-70.8194411511,-33.1221186464","-70.8194519411,-33.1226417157","-70.8194255304,-33.1226421014","-70.8194147406,-33.1221190321",180.98976285328663,0.002459896540656526
97,"-70.81948588585,-33.121851870324996","-70.8195044861,-33.1221132121","-70.8194780756,-33.1221135979","-70.8194672857,-33.1215905285","-70.819493696,-33.1215901428",180.98978398891668,0.002459892814428212
98,"-70.819422458025,-33.12185279675","-70.8194302684,-33.1215910692","-70.8194410581,-33.1221141386","-70.8194146476,-33.1221145243","-70.819403858,-33.1215914549",180.9897457108936,0.002459897347279548
99,"-70.819475002975,-33.121324293149996","-70.819493603,-33.121585635","-70.8194671927,-33.1215860207","-70.819456403,-33.1210629513","-70.8194828132,-33.1210625656",180.9897667094318,0.002459893523699522
100,"-70.819411575575,-33.12132521955","-70.819419386,-33.121063492","-70.8194301754,-33.1215865614","-70.8194037651,-33.1215869471","-70.8193929758,-33.1210638777",180.98972418426985,0.0024598934984268865
101,"-70.819635067625,-33.122932218399995","-70.8196536687,-33.1231935601","-70.8196272579,-33.1231939459","-70.8196164666,-33.1226708767","-70.8196428773,-33.1226704909",180.98989593734385,0.002459895247994864
102,"-70.819571639025,-33.122933144975","-70.8195794489,-33.1226714175","-70.8195902399,-33.1231944867","-70.8195638291,-33.1231948725","-70.8195530382,-33.1226718032",180.98985308607615,0.002459895124438137
103,"-70.81951909415,-33.1234616485","-70.8195376951,-33.1237229902","-70.8195112841,-33.123723376","-70.8195004933,-33.1232003068","-70.8195269041,-33.123199921",180.98984878560702,0.0024598943880535062
104,"-70.81945566515,-33.123462575","-70.8194634753,-33.1232008475","-70.8194742659,-33.1237239167","-70.8194478549,-33.1237243025","-70.8194370645,-33.1232012333",180.98980626089508,0.0024598943621074515
105,"-70.81936991260001,-33.122381300324996","-70.8193885127,-33.1226426421","-70.819362102,-33.1226430279","-70.8193513126,-33.1221199585","-70.8193777231,-33.1221195728",180.98973225589435,0.0024598966116541852
106,"-70.81930648435,-33.1223822267","-70.819314295,-33.1221204992","-70.8193250843,-33.1226435685","-70.8192986736,-33.1226439542","-70.8192878845,-33.1221208849",180.9896987499369,0.0024598964887652145
107,"-70.8193590302,-33.12185372315","-70.8193776301,-33.122115065","-70.8193512196,-33.1221154507","-70.8193404304,-33.1215923813","-70.8193668407,-33.1215919956",180.98971955815836,0.00245989266625821
