name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
546,"-70.831810369825,-33.1150657572","-70.8318181438,-33.1148040299","-70.8318290041,-33.1153270962","-70.8318025958,-33.1153274845","-70.8317917356,-33.1148044182",180.9963037087209,0.0024598875794094935
547,"-70.83201928935,-33.1157031495","-70.8320379245,-33.1159644884","-70.832011516,-33.1159648768","-70.8320006543,-33.1154418106","-70.8320270626,-33.1154414222",180.99644499229646,0.002459883898604528
548,"-70.83195586635,-33.115704082149996","-70.8319636398,-33.1154423549","-70.8319745013,-33.1159654211","-70.8319480928,-33.1159658094","-70.8319372315,-33.1154427432",180.99640196440393,0.0024598836759817926
549,"-70.83173543244999,-33.11451206885","-70.8317540663,-33.1147734079","-70.8317276582,-33.1147737962","-70.8317167987,-33.1142507298","-70.8317432066,-33.1142503415",180.9962562141753,0.002459879799401661
550,"-70.83167201032501,-33.1145130013","-70.8316797847,-33.114251274","-70.831690644,-33.1147743404","-70.8316642359,-33.1147747286","-70.8316533767,-33.1142516622",180.9962177614771,0.0024598842342663275
551,"-70.831724479375,-33.11398449465","-70.831743113,-33.1142458337","-70.8317167051,-33.114246222","-70.8317058458,-33.1137231556","-70.8317322536,-33.1137227673",180.9962392960368,0.0024598806001322237
552,"-70.83166105765,-33.113985427075","-70.8316688321,-33.1137236997","-70.8316796911,-33.1142467662","-70.8316532831,-33.1142471544","-70.8316424243,-33.113724088",180.99619182352467,0.00245988513322258
553,"-70.8317469473,-33.11506668975","-70.8317655814,-33.1153280288","-70.8317391731,-33.1153284171","-70.8317283133,-33.1148053507","-70.8317547214,-33.1148049624",180.99627740187287,0.002459882897217992
554,"-70.8316835248,-33.11506762225","-70.8316912991,-33.1148058949","-70.8317021587,-33.1153289613","-70.8316757504,-33.1153293496","-70.831664891,-33.1148062832",180.99623483533787,0.0024598828711055623
555,"-70.831892443375,-33.11570501475","-70.8319110781,-33.1159663537","-70.8318846697,-33.115966742","-70.8318738087,-33.1154436758","-70.831900217,-33.1154432875",180.9963758474548,0.0024598789951662285
556,"-70.831829020425,-33.11570594735","-70.8318367943,-33.1154442201","-70.831847655,-33.1159672863","-70.8318212465,-33.1159676746","-70.8318103859,-33.1154446084",180.99633327492757,0.0024598882811309557
557,"-70.8316085882,-33.11451393375","-70.8316272217,-33.1147752728","-70.8316008136,-33.1147756611","-70.8315899548,-33.1142525947","-70.8316163627,-33.1142522064",180.9961921049343,0.002459879747849366
558,"-70.83154516602501,-33.114514866175","-70.8315529408,-33.1142531388","-70.8315637993,-33.1147762053","-70.8315373912,-33.1147765935","-70.8315265328,-33.1142535271",180.99614463232206,0.002459884279629192
559,"-70.8315976359,-33.113986359525","-70.8316162692,-33.1142476986","-70.8315898612,-33.1142480869","-70.8315790027,-33.1137250204","-70.8316054105,-33.1137246322",180.99617027866398,0.0024598851071193804
560,"-70.83153421415,-33.113987291925","-70.8315419889,-33.1137255646","-70.8315528472,-33.114248631","-70.8315264393,-33.1142490193","-70.8315155812,-33.1137259528",180.99612772039592,0.0024598757687615555
561,"-70.83162010225,-33.115068554725","-70.831638736,-33.1153298938","-70.8316123277,-33.115330282","-70.8316014686,-33.1148072157","-70.8316278767,-33.1148068274",180.99621315579316,0.0024598827474244514
562,"-70.83155667975001,-33.11506948715","-70.8315644544,-33.1148077598","-70.8315753133,-33.1153308262","-70.831548905,-33.1153312145","-70.8315380463,-33.1148081481",180.9961707269229,0.002459882818242648
563,"-70.831765597475,-33.1157068799","-70.8317842318,-33.1159682189","-70.8317578234,-33.1159686072","-70.8317469632,-33.1154455409","-70.8317733715,-33.1154451526",180.996302390895,0.002459878942949848
564,"-70.831702174475,-33.1157078124","-70.8317099487,-33.1154460851","-70.8317208086,-33.1159691514","-70.8316944002,-33.1159695397","-70.8316835404,-33.1154464734",180.99625982780697,0.002459878916182108
565,"-70.8314817439,-33.11451579855","-70.831500377,-33.1147771377","-70.8314739689,-33.1147775259","-70.8314631109,-33.1142544594","-70.8314895188,-33.1142540712",180.9961181858524,0.002459879499844311
566,"-70.831418321775,-33.114516730925","-70.8314260969,-33.1142550036","-70.8314369547,-33.11477807","-70.8314105466,-33.1147784583","-70.8313996889,-33.1142553918",180.99608052174705,0.0024598842274334088
567,"-70.8314707924,-33.113988224275","-70.8314894253,-33.1142495634","-70.8314630173,-33.1142499517","-70.8314521596,-33.1137268851","-70.8314785674,-33.1137264969",180.996096821911,0.002459885054924416
568,"-70.831407370625,-33.11398915665","-70.8314151458,-33.1137274293","-70.8314260033,-33.1142504958","-70.8313995954,-33.114250884","-70.831388738,-33.1137278175",180.9960587028739,0.0024598802744712693
569,"-70.8314932572,-33.11507041955","-70.8315118905,-33.1153317586","-70.8314854823,-33.1153321469","-70.8314746239,-33.1148090805","-70.8315010321,-33.1148086922",180.99614002671322,0.0024598827928293317
